cells_id	x	gene_ENSG00000232810	gene_ENSG00000109471	gene_ENSG00000111537	gene_ENSG00000178562	gene_ENSG00000109956	gene_ENSG00000181847	gene_ENSG00000135077	gene_ENSG00000089692	gene_ENSG00000188389	gene_ENSG00000163508	gene_ENSG00000163599	gene_ENSG00000138185	gene_ENSG00000198846	gene_ENSG00000122223
cell_1	11 years	0	0	0	0	0	0	0	0	0	1.8293964807524983	0	1.8293964807524983	0	0
cell_2	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_3	11 years	2.5116320170921016	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_4	11 years	0	0	0	1.7579903437663362	0	0	0	0	0	0	0	0	0	0
cell_5	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_6	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_7	11 years	0	0	0.999215054190209	0	0	0.999215054190209	0	0	0	0	0	0	0	0
cell_8	11 years	0	0	2.1699620763223595	0	1.584935351604316	1.584935351604316	0	0	0	0	0	0	0	0
cell_9	11 years	2.499748450765559	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_10	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_11	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_12	11 years	1.7818289010254542	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_13	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_14	11 years	0	0	0	0	0	1.1576523073529348	0	0	0	0	0	0	0	0
cell_15	11 years	1.6233416203649136	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_16	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_17	11 years	0	0	0	0	0	0	0	1.5830875798356214	0	0	0	0	0	0
cell_18	11 years	1.5274038014269988	0	0	0	0	0	0	0	0	0	0	0	1.5274038014269988	1.5274038014269988
cell_19	11 years	2.3522050388276545	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_20	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.8009854006417503	0
cell_21	11 years	0	0	0	2.1219667139184386	0	0	0	0	0	0	0	0	0	0
cell_22	11 years	0	0	0	0	0	1.4911814428667027	0	0	0	1.4911814428667027	0	0	1.4911814428667027	0
cell_23	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_24	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_25	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_26	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_27	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_28	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_29	11 years	0	0	0	0	0	1.5818586025635062	0	1.5818586025635062	0	0	0	0	0	0
cell_30	11 years	0	0	0	0	0	1.5279687096332835	0	0	0	0	0	0	1.5279687096332835	0
cell_31	11 years	2.452358600047408	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_32	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_33	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_34	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_35	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_36	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_37	11 years	0	0	0	0	0	1.6168387989216617	0	0	0	0	0	0	0	0
cell_38	11 years	0	0	0	0	0	0	0	1.874217688193669	1.874217688193669	0	0	0	0	0
cell_39	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_40	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_41	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_42	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.3224345709649277	0
cell_43	11 years	1.4456585026410969	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_44	11 years	0	0	2.1155258540624087	0	0	0	0	0	0	0	0	0	0	0
cell_45	11 years	0	0	0	0	0	1.6279314235178908	0	0	0	0	0	0	0	0
cell_46	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_47	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_48	11 years	0	0	0	0	0	0	0	1.586479124311437	0	0	0	0	0	0
cell_49	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_50	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_51	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.5812449723448094	0
cell_52	11 years	0	0	0	0	0	0	0	1.4079023787663276	0	0	0	0	0	0
cell_53	11 years	0	0	2.437930408952439	0	0	0	0	0	0	0	0	0	0	0
cell_54	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33405124906741
cell_55	11 years	2.049742337160161	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_56	11 years	0	0	0	0	0	0	0	0	0	1.889789813919447	0	0	0	0
cell_57	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_58	11 years	0	0	2.500775225466906	0	1.3344707815443304	1.8864589930671416	0	0	0	0	0	0	0	1.3344707815443304
cell_59	11 years	0	0	0	0	0	0.8495135044986433	0	0	0	0	0	0	1.3021020438000406	0
cell_60	11 years	0	0	1.580631913185019	1.580631913185019	0	0	0	1.580631913185019	0	0	0	0	0	0
cell_61	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_62	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_63	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_64	11 years	0	0	1.6062455713351271	0	0	0	0	1.6062455713351271	0	0	0	0	0	0
cell_65	11 years	0	0	0	0	0	1.6845111779803141	0	0	0	0	0	0	0	0
cell_66	11 years	0	0	0	0	0	0	0	0	0	1.6249772345053968	0	0	1.6249772345053968	0
cell_67	11 years	0	0	0	0	0	2.029956691827725	0	0	0	2.029956691827725	0	0	0	0
cell_68	11 years	0	0	1.645258714158168	0	0	0	0	0	0	0	0	0	0	0
cell_69	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_70	11 years	1.4486419660370249	0	2.376948965394596	0	1.4486419660370249	1.4486419660370249	0	1.4486419660370249	0	0	0	0	0	1.4486419660370249
cell_71	11 years	0	0	0	1.0764471048401032	0	0	0	0	0	0	0	0	0	0
cell_72	11 years	0	0	0	1.0495343533768444	0	0	0	0	0	0	1.0495343533768444	0	0	0
cell_73	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_74	11 years	0	0	0	0	0	0	0	1.2623086346958474	0	0	0	0	0	0
cell_75	11 years	0	0	0	0	0	0	0	1.8172061348892194	0	0	0	0	0	0
cell_76	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_77	11 years	0	0	0	0	0	1.6503407117703666	0	1.6503407117703666	0	0	0	0	0	0
cell_78	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_79	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_80	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_81	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_82	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_83	11 years	2.3542150524316394	0	2.8263131441739047	0	0	0	0	0	0	0	0	0	0	0
cell_84	11 years	0	0	1.5964455725038855	0	0	0	0	0	0	1.5964455725038855	0	0	0	0
cell_85	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_86	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_87	11 years	0	0	1.5708998930216758	0	0	0	0	0	0	0	0	0	0	0
cell_88	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_89	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_90	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_91	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_92	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_93	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_94	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_95	11 years	0	0	0	1.3394389438383856	0	0	0	0	0	0	0	0	0	0
cell_96	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_97	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_98	11 years	0	0	0	1.8324764713601618	0	0	0	0	0	0	0	0	0	0
cell_99	11 years	0	0	1.4777219982231276	0	0	0	0	0	0	0	0	0	0	0
cell_100	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_101	11 years	0	0	2.161078157421274	0	0	0	0	0	0	0	0	0	0	0
cell_102	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_103	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_104	11 years	0	0	1.5463120120902332	0	0	0	0	0	0	0	0	0	0	0
cell_105	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_106	11 years	1.6302381423488568	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_107	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_108	11 years	0	0	0	0	0	0	0	1.0983456930920172	0	0	0	1.0983456930920172	0	0
cell_109	11 years	0	0	1.4541492274943129	0	0	1.4541492274943129	0	0	0	0	0	0	0	1.4541492274943129
cell_110	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_111	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_112	11 years	0	0	1.6094379124341003	0	0	0	0	0	0	0	0	0	0	0
cell_113	11 years	2.111048493736989	0	0	0	0	0	0	1.532221395996399	0	0	0	0	0	1.532221395996399
cell_114	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_115	11 years	0	0	2.3559418203741727	0	1.4309536686422466	0	0	1.9967896086207162	0	0	0	0	0	1.4309536686422466
cell_116	11 years	1.251158146553607	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_117	11 years	1.365147874118255	0	0	1.365147874118255	0	0	0	0	0	0	0	0	0	0
cell_118	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_119	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.5131640956762562	0
cell_120	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_121	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_122	11 years	0	0	0	0	0	1.4441721476978615	0	0	0	0	0	0	0	1.4441721476978615
cell_123	11 years	0	0	0	0	0	0	0	1.4845477697547902	0	1.4845477697547902	0	0	1.4845477697547902	0
cell_124	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_125	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_126	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5583420163377217
cell_127	11 years	0	0	0	0	0	0	0	1.5043885839578734	0	0	0	0	1.5043885839578734	0
cell_128	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6422277352570913
cell_129	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_130	11 years	0	0	0	0	0	0.9461585259329341	0	0	0	0	0	0	0	0
cell_131	11 years	0	0	0	0	0	0	0	0	0	1.559824410542564	0	0	0	0
cell_132	11 years	0	0	0	0	0	0	0	1.532221395996399	0	0	0	0	0	0
cell_133	11 years	1.5502485882825032	0	2.131237076732411	0	0	0	0	0	1.0495343533768444	0	0	0	1.0495343533768444	0
cell_134	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_135	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5425436776040702
cell_136	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_137	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_138	11 years	0	0	1.5274038014269988	0	0	0	0	0	0	0	0	0	0	0
cell_139	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_140	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_141	11 years	0	0	0	0	0	1.8373430765205154	0	0	0	0	0	0	0	0
cell_142	11 years	0	0	1.5226220197574771	0	0	0	0	1.5226220197574771	0	0	0	1.5226220197574771	0	0
cell_143	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_144	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_145	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_146	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_147	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_148	11 years	0	0	0	2.2708980502434795	0	0	0	0	0	0	0	0	0	0
cell_149	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_150	11 years	0	0	0	0	0	0	0	1.2090129603392978	0	0	0	1.2090129603392978	0	0
cell_151	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_152	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_153	11 years	1.4756365778454605	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_154	11 years	0	0	1.4486419660370249	0	0	0	0	0	0	0	0	0	0	0
cell_155	11 years	0	0	0	0	0	0	0	2.2261858774754186	0	2.2261858774754186	0	0	0	0
cell_156	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_157	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_158	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_159	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_160	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_161	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_162	11 years	0	0	0	0	0	0	0	0	2.1258567212258574	0	0	0	0	0
cell_163	11 years	0	0	0	0	0	0	0	0.9513952045901348	0	0	0	0	0	0.9513952045901348
cell_164	11 years	0	0	0	0	0	0	0	1.5428327728190139	0	0	0	0	0	0
cell_165	11 years	0	0	0	0	0	1.8489773626219246	0	0	1.3020046032285784	0	0	0	0	0
cell_166	11 years	0	0	0	0	0	0	0	0	1.852141729387025	1.852141729387025	0	0	0	0
cell_167	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_168	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_169	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_170	11 years	1.8548650234579704	0	0	0	0	0	0	0	0	1.8548650234579704	0	0	0	0
cell_171	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_172	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_173	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_174	11 years	0.9282144648217653	0	1.720972718324996	0	0	0	0	0	0	0	0	0	0	0
cell_175	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_176	11 years	0	0	1.1509604259800887	0	0	0	0	1.1509604259800887	0	1.1509604259800887	0	0	0	0
cell_177	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_178	11 years	0	0	1.3666699762660457	0	0	0	0	0	0	0	0	0	0	0
cell_179	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_180	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_181	11 years	0	0	0	0	0	0	0	1.8890747985185374	0	0	0	0	0	0
cell_182	11 years	1.2646751766410598	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_183	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_184	11 years	1.514546233198022	0	0	0	0	1.514546233198022	0	0	0	0	0	0	0	0
cell_185	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_186	11 years	1.6223621634150358	0	1.6223621634150358	0	0	0	0	0	0	0	0	0	2.211574599366026	0
cell_187	11 years	1.980104012198374	0	0	0	0	1.6413882033307565	0	0	0	0	0	0	0	0
cell_188	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_189	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_190	11 years	1.4798143617369077	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_191	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_192	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_193	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_194	11 years	0	0	0	0	0	0	0	1.755610465645426	0	0	0	0	0	0
cell_195	11 years	0	0	0	0	0	0	0	1.714097226458628	0	0	0	0	0	1.714097226458628
cell_196	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_197	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_198	11 years	0	0	1.695685015835958	0	0	0	0	0	0	0	0	0	0	0
cell_199	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_200	11 years	0	0	1.4795524352535638	0	0	0	0	0	0	0	0	0	0	0
cell_201	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_202	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_203	11 years	0	0	0	0	0	0	0	1.655118533461911	0	0	0	0	0	1.655118533461911
cell_204	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_205	11 years	0	0	0	0	0	0	0	0	0	2.097454464816093	0	0	0	0
cell_206	11 years	0	0	1.584010818632517	0	0	0	0	0	0	0	0	0	0	0
cell_207	11 years	2.0316821582006424	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_208	11 years	0	0	0	0	0	1.4139961132983585	0	0	0	0	0	0	0	0
cell_209	11 years	0	0	0	0	0	0	0	0	0	0	1.787190785781838	0	0	0
cell_210	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_211	11 years	2.807000171558079	0	2.4312811628121307	0	0	0	0	0	0	0	0	0	0	0
cell_212	11 years	0	0	1.967914863668725	0	0	0	0	0	0	0	0	0	0	1.4055748211990229
cell_213	11 years	0	0	1.5509802090832585	0	0	1.5509802090832585	0	0	1.5509802090832585	1.5509802090832585	0	0	0	0
cell_214	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_215	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_216	11 years	0	0	0	0	0	0	0	0	1.561607739303185	0	0	0	0	0
cell_217	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_218	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_219	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_220	11 years	0	0	0	0	2.422808906804794	0	0	0	0	0	0	0	0	0
cell_221	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_222	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_223	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_224	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_225	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_226	11 years	1.543990445488184	0	0	0	0	1.543990445488184	0	1.543990445488184	0	0	0	0	0	0
cell_227	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_228	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_229	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_230	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_231	11 years	0	0	0	0.9742110951692482	0	2.224124246973856	0	0	0	0	0	0	0	0
cell_232	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_233	11 years	0	0	0	1.2276290009381057	0	0	0	0	0	0	0	0	0	0
cell_234	11 years	2.172370968165867	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_235	11 years	0	0	1.2624903211983953	0	0	0	0	1.2624903211983953	0	0	0	0	0	0
cell_236	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_237	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_238	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_239	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_240	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_241	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_242	11 years	0	0	0	0	0	1.4938545283083495	0	0	0	0	0	0	0	0
cell_243	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.4299857252052983	0
cell_244	11 years	0	0	0	0	0	0	0	0	0	0	0	2.3281806401830094	0	0
cell_245	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_246	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_247	11 years	0	0	2.3640480802736126	0	0	0	0	0	0	0	0	0	0	0
cell_248	11 years	2.6061689179569254	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_249	11 years	0	0	0	0	0	0	0	0	0	2.118095862962761	0	0	0	0
cell_250	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_251	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_252	11 years	2.200788055494608	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_253	11 years	0	0	0	0	0	0	0	1.5201048323403383	0	0	0	0	0	0
cell_254	11 years	2.079791620451134	0	0	0	0	0	0	1.5043885839578734	0	0	0	0	0	0
cell_255	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_256	11 years	0	0	1.3899806545550926	0	0	0	0	0	0	0	0	0	0	0
cell_257	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_258	11 years	0	0	0	0	0	0	0	0	0	1.6975043377789099	0	0	0	0
cell_259	11 years	1.2931104226987504	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_260	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_261	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_262	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_263	11 years	1.6506808709681495	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_264	11 years	0	0	0	0	0	0	0	2.359695567046358	0	0	0	0	0	0
cell_265	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.7984574179121826	0
cell_266	11 years	1.6848688061171004	0	0	0	0	0	0	0	0	0	0	0	0	1.6848688061171004
cell_267	11 years	0	0	0	0	0	0	0	1.4446672025065779	0	0	0	0	0	0
cell_268	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_269	11 years	0	0	0	0	0	0	0	0	0	1.7461705174007456	0	0	0	0
cell_270	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_271	11 years	0	0	1.3055229497778773	0	0	0	0	0	0	0	0	0	0	0
cell_272	11 years	0	0	0	0	0	1.874217688193669	0	1.874217688193669	0	0	0	0	0	0
cell_273	11 years	0	0	0	0	0	0	0	0	0	1.4128194884780696	0	0	0	0
cell_274	11 years	0	0	0	1.186097361345545	0	1.186097361345545	0	0	0	0	0	0	0	0
cell_275	11 years	2.5102456599598857	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_276	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_277	11 years	0	0	0	0	0	1.6226884900826706	0	0	0	0	0	0	0	0
cell_278	11 years	1.5416771654689407	0	0	0	1.5416771654689407	0	0	0	0	0	0	0	0	0
cell_279	11 years	0.9710399018175366	0	0	0	0	0.9710399018175366	0	0	0	0	0	0	0	0
cell_280	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_281	11 years	1.2828437340537304	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_282	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_283	11 years	1.612324148703729	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_284	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_285	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_286	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_287	11 years	0	0	1.184047720552676	1.184047720552676	0	0	0	0	0	1.184047720552676	0	0	0	0
cell_288	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_289	11 years	2.088108365248045	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_290	11 years	0	0	0	0	0	0	0	0	0	1.5279687096332835	0	0	0	0
cell_291	11 years	1.3938415667552735	0	1.9545308920992204	0	0	0	0	0	0	0	0	0	0	0
cell_292	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_293	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_294	11 years	0	0	1.4203894492032512	1.984782436760353	0	0	0	0	0	0	0	0	0	0
cell_295	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_296	11 years	0	0	0	0	0	0	0	1.346129484362796	0	0	0	0	0	0
cell_297	11 years	0	0	2.3799091764285887	0	0	1.4511392078839955	0	2.0196845988766237	0	0	0	0	0	0
cell_298	11 years	1.550102362896106	0	0	0	0	1.550102362896106	0	0	0	0	0	0	0	0
cell_299	11 years	0	0	1.543990445488184	0	0	0	0	1.543990445488184	0	0	0	0	0	0
cell_300	11 years	0	0	0	0	0	0	0	1.6738681088139422	0	0	0	0	0	0
cell_301	11 years	0	0	1.4118798241566037	0	0	0	0	0	0	1.9750978204500318	0	0	0	0
cell_302	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_303	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_304	11 years	0	0	0	0	0.9217857488712409	0	0	0	0	0.9217857488712409	0	0	0	0
cell_305	11 years	2.389753378716794	0	2.389753378716794	0	0	0	0	0	0	0	0	0	0	0
cell_306	11 years	0	0	1.8943344086836793	0	0	0	0	0	0	0	0	0	0	0
cell_307	11 years	0	0	1.6065641178483192	0	0	0	0	0	0	0	0	0	0	1.6065641178483192
cell_308	11 years	2.5849341473424876	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_309	11 years	0	0	2.2166583873290833	0	0	2.853778642548469	0	2.2166583873290833	0	0	0	0	0	0
cell_310	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_311	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_312	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.4686490303657849	1.4686490303657849
cell_313	11 years	0	0	0	0	0	0	0	0	0	0	0	1.4597057447580455	0	0
cell_314	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_315	11 years	0	0	0	0	0	1.6142552641831445	0	0	0	0	0	0	0	0
cell_316	11 years	0	0	0.8994094675345619	0.8994094675345619	0	0	0	0	0	0	0	0	0	0.8994094675345619
cell_317	11 years	0	0	0	0	0	0	0	1.1405745438699584	0	0	0	0	0	0
cell_318	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_319	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_320	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_321	11 years	0	0	1.4302275680294407	0	0	0	0	0	0	0	0	0	0	0
cell_322	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4446672025065779
cell_323	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_324	11 years	0	0	1.422535530275736	0	0	0	0	0	0	0	0	0	0	0
cell_325	11 years	0	0	1.6116816829082712	0	0	0	0	0	0	0	0	0	0	1.6116816829082712
